Factor,Time ,Month ,Plot,Diversity ,Nutrients,Sediment,Treatment ,Cyano,Green Algae,Diatoms
6.D_N0_S1_4,6,February'16 ,62,D,N0,S1,D_N0_S1,0.12,0.436666667,0.156666667
6.D_N0_S1_5,6,February'16 ,72,D,N0,S1,D_N0_S1,0.18,0.19,0.32
6.D_N1_S0_1,6,February'16 ,48,D,N1,S0,D_N1_S0,0.05,0.006666667,0.05
6.D_N1_S0_2,6,February'16 ,56,D,N1,S0,D_N1_S0,0.21,0.943333333,0.086666667
6.D_N1_S0_3,6,February'16 ,64,D,N1,S0,D_N1_S0,0.1,0,0.086666667
6.D_N1_S0_4,6,February'16 ,86,D,N1,S0,D_N1_S0,0.126666667,0,0.12
6.D_N1_S0_5,6,February'16 ,24*,D,N1,S0,D_N1_S0,0.003333333,0.05,0.076666667
6.D_N1_S1_1,6,February'16 ,9,D,N1,S1,D_N1_S1,0.046666667,0.2,0.043333333
6.D_N1_S1_2,6,February'16 ,29,D,N1,S1,D_N1_S1,0.113333333,0,0.176666667
6.D_N1_S1_3,6,February'16 ,57,D,N1,S1,D_N1_S1,0.07,0.11,0.196666667
6.D_N1_S1_4,6,February'16 ,66,D,N1,S1,D_N1_S1,0.013333333,0.06,0
6.D_N1_S1_5,6,February'16 ,99,D,N1,S1,D_N1_S1,0.033333333,0.066666667,0.043333333
7.A_N0_S0_1,7,March'16,6,A,N0,S0,A_N0_S0,0.21,0.046666667,0.363333333
7.A_N0_S0_2,7,March'16,7,A,N0,S0,A_N0_S0,0.11,0.916666667,0.22
7.A_N0_S0_3,7,March'16,32,A,N0,S0,A_N0_S0,0.06,0.45,0.103333333
7.A_N0_S0_4,7,March'16,50,A,N0,S0,A_N0_S0,0.473333333,0.296666667,2.623333333
7.A_N0_S0_5,7,March'16,53,A,N0,S0,A_N0_S0,0.586666667,0,0.636666667
7.A_N0_S1_1,7,March'16,16,A,N0,S1,A_N0_S1,0.116666667,0.216666667,0.27
7.A_N0_S1_2,7,March'16,19,A,N0,S1,A_N0_S1,0.076666667,0.156666667,0.106666667
7.A_N0_S1_3,7,March'16,20,A,N0,S1,A_N0_S1,0.18,0,0.213333333
7.A_N0_S1_4,7,March'16,36,A,N0,S1,A_N0_S1,0.463333333,0,0.896666667
7.A_N0_S1_5,7,March'16,40,A,N0,S1,A_N0_S1,0.403333333,0.076666667,0.556666667
7.A_N1_S0_1,7,March'16,14,A,N1,S0,A_N1_S0,0.186666667,2.626666667,0.503333333
7.A_N1_S0_2,7,March'16,23,A,N1,S0,A_N1_S0,0.24,1.793333333,0.533333333
7.A_N1_S0_3,7,March'16,69,A,N1,S0,A_N1_S0,0.616666667,0.02,1.936666667
7.A_N1_S0_4,7,March'16,I,A,N1,S0,A_N1_S0,0.483333333,0,0.943333333
7.A_N1_S0_5,7,March'16,K,A,N1,S0,A_N1_S0,0.123333333,0.043333333,0.346666667
7.A_N1_S1_1,7,March'16,30,A,N1,S1,A_N1_S1,0.096666667,0.61,0.19
7.A_N1_S1_2,7,March'16,47,A,N1,S1,A_N1_S1,0.616666667,0,1.506666667
7.A_N1_S1_3,7,March'16,B,A,N1,S1,A_N1_S1,0.48,0.033333333,1.293333333
7.A_N1_S1_4,7,March'16,F,A,N1,S1,A_N1_S1,0.603333333,1.33,1.026666667
7.A_N1_S1_5,7,March'16,N,A,N1,S1,A_N1_S1,0.126666667,0,0.223333333
7.B_N0_S0_1,7,March'16,1,B,N0,S0,B_N0_S0,0.1,0.216666667,0.186666667
7.B_N0_S0_2,7,March'16,4,B,N0,S0,B_N0_S0,0.053333333,0.01,0.073333333
7.B_N0_S0_3,7,March'16,31,B,N0,S0,B_N0_S0,0,0.213333333,0
7.B_N0_S0_4,7,March'16,34,B,N0,S0,B_N0_S0,0.063333333,0.38,0.096666667
7.B_N0_S0_5,7,March'16,E,B,N0,S0,B_N0_S0,0.046666667,1.386666667,0.063333333
7.B_N0_S1_1,7,March'16,17,B,N0,S1,B_N0_S1,0.176666667,0.073333333,0.283333333
7.B_N0_S1_2,7,March'16,18,B,N0,S1,B_N0_S1,0.126666667,0,0.113333333
7.B_N0_S1_3,7,March'16,49,B,N0,S1,B_N0_S1,0.126666667,0.723333333,0.416666667
7.B_N0_S1_4,7,March'16,65,B,N0,S1,B_N0_S1,0.056666667,0,0.076666667
7.B_N0_S1_5,7,March'16,H,B,N0,S1,B_N0_S1,0.056666667,0.176666667,0.046666667
7.B_N1_S0_1,7,March'16,5,B,N1,S0,B_N1_S0,0.116666667,0.043333333,0.283333333
7.B_N1_S0_2,7,March'16,24,B,N1,S0,B_N1_S0,0.096666667,0.046666667,0.156666667
7.B_N1_S0_3,7,March'16,44,B,N1,S0,B_N1_S0,0.023333333,0.103333333,0.013333333
7.B_N1_S0_4,7,March'16,67,B,N1,S0,B_N1_S0,0.04,0.103333333,0.05
7.B_N1_S0_5,7,March'16,J,B,N1,S0,B_N1_S0,0.066666667,0,0.086666667
7.B_N1_S1_1,7,March'16,11,B,N1,S1,B_N1_S1,0.2,0.143333333,0.57
7.B_N1_S1_2,7,March'16,25,B,N1,S1,B_N1_S1,0.04,0.13,0.053333333
7.B_N1_S1_3,7,March'16,45,B,N1,S1,B_N1_S1,0.083333333,0,0.083333333
7.B_N1_S1_4,7,March'16,C,B,N1,S1,B_N1_S1,0.073333333,0,0.056666667
7.B_N1_S1_5,7,March'16,M,B,N1,S1,B_N1_S1,0.03,0.006666667,0.016666667
7.C_N0_S0_1,7,March'16,2,C,N0,S0,C_N0_S0,0.076666667,0.163333333,0.08
7.C_N0_S0_2,7,March'16,3,C,N0,S0,C_N0_S0,0.036666667,0.03,0.036666667
7.C_N0_S0_3,7,March'16,15,C,N0,S0,C_N0_S0,0.003333333,0.056666667,0
7.C_N0_S0_4,7,March'16,33,C,N0,S0,C_N0_S0,0.11,0.05,0.18
7.C_N0_S0_5,7,March'16,59,C,N0,S0,C_N0_S0,0.006666667,0.076666667,0.01
7.C_N0_S1_1,7,March'16,37,C,N0,S1,C_N0_S1,0.08,0.363333333,0.113333333
7.C_N0_S1_2,7,March'16,46,C,N0,S1,C_N0_S1,0.043333333,0.463333333,0.13
7.C_N0_S1_3,7,March'16,60,C,N0,S1,C_N0_S1,0.033333333,0.146666667,0.013333333
7.C_N0_S1_4,7,March'16,A,C,N0,S1,C_N0_S1,0.033333333,2.446666667,0.123333333
7.C_N0_S1_5,7,March'16,D,C,N0,S1,C_N0_S1,0.023333333,0.393333333,0.01
7.C_N1_S0_1,7,March'16,8,C,N1,S0,C_N1_S0,0.02,0.06,0.033333333
7.C_N1_S0_2,7,March'16,27,C,N1,S0,C_N1_S0,0.12,0,0.17
7.C_N1_S0_3,7,March'16,42,C,N1,S0,C_N1_S0,0.063333333,0.07,0.116666667
7.C_N1_S0_4,7,March'16,63,C,N1,S0,C_N1_S0,0.066666667,0,0.056666667
7.C_N1_S0_5,7,March'16,G,C,N1,S0,C_N1_S0,0.03,0.213333333,0
7.C_N1_S1_1,7,March'16,10,C,N1,S1,C_N1_S1,0.04,0.03,0.036666667
7.C_N1_S1_2,7,March'16,26,C,N1,S1,C_N1_S1,0.03,0.02,0.033333333
7.C_N1_S1_3,7,March'16,28,C,N1,S1,C_N1_S1,0.066666667,0.05,0.09
7.C_N1_S1_4,7,March'16,70,C,N1,S1,C_N1_S1,0.033333333,0.063333333,0.02
7.C_N1_S1_5,7,March'16,L,C,N1,S1,C_N1_S1,0.05,0.01,0.07
7.D_N0_S0_1,7,March'16,21,D,N0,S0,D_N0_S0,0.05,0,0.083333333
7.D_N0_S0_2,7,March'16,41,D,N0,S0,D_N0_S0,0.296666667,0,0.356666667
7.D_N0_S0_3,7,March'16,52,D,N0,S0,D_N0_S0,0.01,2.74,0.016666667
7.D_N0_S0_4,7,March'16,58,D,N0,S0,D_N0_S0,0.023333333,0.1,0.03
7.D_N0_S0_5,7,March'16,68,D,N0,S0,D_N0_S0,0.093333333,2.286666667,0.196666667
7.D_N0_S1_1,7,March'16,35,D,N0,S1,D_N0_S1,0.203333333,0.98,0.393333333
7.D_N0_S1_2,7,March'16,38,D,N0,S1,D_N0_S1,0,5.203333333,0
7.D_N0_S1_3,7,March'16,54,D,N0,S1,D_N0_S1,0.073333333,0.163333333,0.083333333
7.D_N0_S1_4,7,March'16,62,D,N0,S1,D_N0_S1,0.13,1.216666667,0.216666667
7.D_N0_S1_5,7,March'16,72,D,N0,S1,D_N0_S1,0.11,0.543333333,0.206666667
7.D_N1_S0_1,7,March'16,48,D,N1,S0,D_N1_S0,0.146666667,0,0.283333333
7.D_N1_S0_2,7,March'16,56,D,N1,S0,D_N1_S0,0.1,2.61,0.273333333
7.D_N1_S0_3,7,March'16,64,D,N1,S0,D_N1_S0,0.12,0.13,0.206666667
7.D_N1_S0_4,7,March'16,86,D,N1,S0,D_N1_S0,0.153333333,0,0.28
7.D_N1_S0_5,7,March'16,24*,D,N1,S0,D_N1_S0,0.053333333,0.08,0.106666667
7.D_N1_S1_1,7,March'16,9,D,N1,S1,D_N1_S1,0.033333333,0.666666667,0.03
7.D_N1_S1_2,7,March'16,29,D,N1,S1,D_N1_S1,0.173333333,0.306666667,0.44
7.D_N1_S1_3,7,March'16,57,D,N1,S1,D_N1_S1,0.036666667,1.106666667,0.173333333
7.D_N1_S1_4,7,March'16,66,D,N1,S1,D_N1_S1,0.016666667,0.306666667,0.003333333
7.D_N1_S1_5,7,March'16,99,D,N1,S1,D_N1_S1,0.033333333,1,0.053333333
8.A_N0_S0_1,8,April'16,6,A,N0,S0,A_N0_S0,0.49,0,0.716666667
8.A_N0_S0_2,8,April'16,7,A,N0,S0,A_N0_S0,0.126666667,0.35,0.18
8.A_N0_S0_3,8,April'16,32,A,N0,S0,A_N0_S0,0.17,0,0.39
8.A_N0_S0_4,8,April'16,50,A,N0,S0,A_N0_S0,0.513333333,0,0.876666667
8.A_N0_S0_5,8,April'16,53,A,N0,S0,A_N0_S0,0.833333333,0,0.683333333
8.A_N0_S1_1,8,April'16,16,A,N0,S1,A_N0_S1,0.166666667,0.546666667,0.35
8.A_N0_S1_2,8,April'16,19,A,N0,S1,A_N0_S1,0.106666667,1.14,0.29
8.A_N0_S1_3,8,April'16,20,A,N0,S1,A_N0_S1,0.223333333,0.106666667,0.593333333
8.A_N0_S1_4,8,April'16,36,A,N0,S1,A_N0_S1,0.976666667,0,1.386666667
8.A_N0_S1_5,8,April'16,40,A,N0,S1,A_N0_S1,1.806666667,0,1.923333333
8.A_N1_S0_1,8,April'16,14,A,N1,S0,A_N1_S0,0.886666667,0,1.32
8.A_N1_S0_2,8,April'16,23,A,N1,S0,A_N1_S0,0.173333333,1.036666667,0.186666667
8.A_N1_S0_3,8,April'16,69,A,N1,S0,A_N1_S0,0.786666667,0,0.836666667
8.A_N1_S0_4,8,April'16,I,A,N1,S0,A_N1_S0,0.716666667,0,0.97
8.A_N1_S0_5,8,April'16,K,A,N1,S0,A_N1_S0,0.453333333,0,0.986666667
8.A_N1_S1_1,8,April'16,30,A,N1,S1,A_N1_S1,0.043333333,1.19,0.08
8.A_N1_S1_2,8,April'16,47,A,N1,S1,A_N1_S1,1.05,0,1.586666667
8.A_N1_S1_3,8,April'16,B,A,N1,S1,A_N1_S1,0.56,0,0.886666667
8.A_N1_S1_4,8,April'16,F,A,N1,S1,A_N1_S1,0.303333333,1.463333333,0.5
8.A_N1_S1_5,8,April'16,N,A,N1,S1,A_N1_S1,0.243333333,0,0.383333333
8.B_N0_S0_1,8,April'16,1,B,N0,S0,B_N0_S0,0.09,0.07,0.14
8.B_N0_S0_2,8,April'16,4,B,N0,S0,B_N0_S0,0.043333333,0.033333333,0.06
8.B_N0_S0_3,8,April'16,31,B,N0,S0,B_N0_S0,0.03,0.203333333,0
8.B_N0_S0_4,8,April'16,34,B,N0,S0,B_N0_S0,0.066666667,0.136666667,0.103333333
8.B_N0_S0_5,8,April'16,E,B,N0,S0,B_N0_S0,0.08,0.28,0.046666667
8.B_N0_S1_1,8,April'16,17,B,N0,S1,B_N0_S1,0.443333333,0.46,0.92
8.B_N0_S1_2,8,April'16,18,B,N0,S1,B_N0_S1,0.24,0,0.303333333
8.B_N0_S1_3,8,April'16,49,B,N0,S1,B_N0_S1,0.056666667,0.65,0.123333333
8.B_N0_S1_4,8,April'16,65,B,N0,S1,B_N0_S1,0.03,0.23,0.046666667
8.B_N0_S1_5,8,April'16,H,B,N0,S1,B_N0_S1,0.013333333,0.263333333,0.023333333
8.B_N1_S0_1,8,April'16,5,B,N1,S0,B_N1_S0,0.16,0.166666667,0.27
8.B_N1_S0_2,8,April'16,24,B,N1,S0,B_N1_S0,0.1,0.18,0.14
8.B_N1_S0_3,8,April'16,44,B,N1,S0,B_N1_S0,0.026666667,0.053333333,0.033333333
8.B_N1_S0_4,8,April'16,67,B,N1,S0,B_N1_S0,0.04,0.16,0.023333333
8.B_N1_S0_5,8,April'16,J,B,N1,S0,B_N1_S0,0.09,0,0.073333333
8.B_N1_S1_1,8,April'16,11,B,N1,S1,B_N1_S1,0.18,0.076666667,0.346666667
8.B_N1_S1_2,8,April'16,25,B,N1,S1,B_N1_S1,0.026666667,0.166666667,0.023333333
8.B_N1_S1_3,8,April'16,45,B,N1,S1,B_N1_S1,0.076666667,0,0.103333333
8.B_N1_S1_4,8,April'16,C,B,N1,S1,B_N1_S1,0.09,0.013333333,0.103333333
8.B_N1_S1_5,8,April'16,M,B,N1,S1,B_N1_S1,0.006666667,0.136666667,0
8.C_N0_S0_1,8,April'16,2,C,N0,S0,C_N0_S0,0.043333333,0.19,0.006666667
8.C_N0_S0_2,8,April'16,3,C,N0,S0,C_N0_S0,0.13,0,0.2
8.C_N0_S0_3,8,April'16,15,C,N0,S0,C_N0_S0,0.013333333,0.106666667,0.003333333
8.C_N0_S0_4,8,April'16,33,C,N0,S0,C_N0_S0,0.05,0.02,0.053333333
8.C_N0_S0_5,8,April'16,59,C,N0,S0,C_N0_S0,0.036666667,0.196666667,0.023333333
8.C_N0_S1_1,8,April'16,37,C,N0,S1,C_N0_S1,0.05,0.55,0.066666667
8.C_N0_S1_2,8,April'16,46,C,N0,S1,C_N0_S1,0.02,0.493333333,0.05
8.C_N0_S1_3,8,April'16,60,C,N0,S1,C_N0_S1,0.023333333,0.143333333,0
8.C_N0_S1_4,8,April'16,A,C,N0,S1,C_N0_S1,0.12,1.323333333,0.183333333
8.C_N0_S1_5,8,April'16,D,C,N0,S1,C_N0_S1,0.02,0.216666667,0.01
8.C_N1_S0_1,8,April'16,8,C,N1,S0,C_N1_S0,0.036666667,0.01,0.04
8.C_N1_S0_2,8,April'16,27,C,N1,S0,C_N1_S0,0.106666667,0,0.093333333
8.C_N1_S0_3,8,April'16,42,C,N1,S0,C_N1_S0,0.066666667,0.266666667,0.076666667
8.C_N1_S0_4,8,April'16,63,C,N1,S0,C_N1_S0,0.05,0,0.026666667
8.C_N1_S0_5,8,April'16,G,C,N1,S0,C_N1_S0,0.02,0.156666667,0
8.C_N1_S1_1,8,April'16,10,C,N1,S1,C_N1_S1,0.033333333,0.03,0.04
8.C_N1_S1_2,8,April'16,26,C,N1,S1,C_N1_S1,0.02,0.066666667,0.01
8.C_N1_S1_3,8,April'16,28,C,N1,S1,C_N1_S1,0.02,0.266666667,0.023333333
8.C_N1_S1_4,8,April'16,70,C,N1,S1,C_N1_S1,0,0.21,0
8.C_N1_S1_5,8,April'16,L,C,N1,S1,C_N1_S1,0.053333333,0.183333333,0.13
8.D_N0_S0_1,8,April'16,21,D,N0,S0,D_N0_S0,0.136666667,0,0.19
8.D_N0_S0_2,8,April'16,41,D,N0,S0,D_N0_S0,0.156666667,0.13,0.223333333
8.D_N0_S0_3,8,April'16,52,D,N0,S0,D_N0_S0,0.073333333,2.746666667,0.063333333
8.D_N0_S0_4,8,April'16,58,D,N0,S0,D_N0_S0,0.04,0.18,0.043333333
8.D_N0_S0_5,8,April'16,68,D,N0,S0,D_N0_S0,0.15,1.623333333,0.21
8.D_N0_S1_1,8,April'16,35,D,N0,S1,D_N0_S1,0.07,0.183333333,0.07
8.D_N0_S1_2,8,April'16,38,D,N0,S1,D_N0_S1,0.036666667,0.413333333,0.01
8.D_N0_S1_3,8,April'16,54,D,N0,S1,D_N0_S1,0.003333333,0.076666667,0
8.D_N0_S1_4,8,April'16,62,D,N0,S1,D_N0_S1,0.03,0.213333333,0.006666667
8.D_N0_S1_5,8,April'16,72,D,N0,S1,D_N0_S1,0.096666667,0.026666667,0.096666667
8.D_N1_S0_1,8,April'16,48,D,N1,S0,D_N1_S0,0.22,0.023333333,0.37
8.D_N1_S0_2,8,April'16,56,D,N1,S0,D_N1_S0,0.146666667,1.086666667,0.163333333
8.D_N1_S0_3,8,April'16,64,D,N1,S0,D_N1_S0,0.133333333,0.08,0.17
8.D_N1_S0_4,8,April'16,86,D,N1,S0,D_N1_S0,0.19,0.11,0.22
8.D_N1_S0_5,8,April'16,24*,D,N1,S0,D_N1_S0,0.083333333,0.116666667,0.123333333
8.D_N1_S1_1,8,April'16,9,D,N1,S1,D_N1_S1,0.006666667,0.056666667,0
8.D_N1_S1_2,8,April'16,29,D,N1,S1,D_N1_S1,0.036666667,0.046666667,0.04
8.D_N1_S1_3,8,April'16,57,D,N1,S1,D_N1_S1,0.043333333,0.15,0.056666667
8.D_N1_S1_4,8,April'16,66,D,N1,S1,D_N1_S1,0.016666667,0.233333333,0
8.D_N1_S1_5,8,April'16,99,D,N1,S1,D_N1_S1,0,0.06,0
9.A_N0_S0_1,9,May'16,6,A,N0,S0,A_N0_S0,0.2,1.713333333,0.576666667
9.A_N0_S0_2,9,May'16,7,A,N0,S0,A_N0_S0,0.04,0.66,0.063333333
9.A_N0_S0_3,9,May'16,32,A,N0,S0,A_N0_S0,0.443333333,0,0.703333333
9.A_N0_S0_4,9,May'16,50,A,N0,S0,A_N0_S0,1.383333333,2.113333333,3.416666667
9.A_N0_S0_5,9,May'16,53,A,N0,S0,A_N0_S0,1.68,0,2.263333333
9.A_N0_S1_1,9,May'16,16,A,N0,S1,A_N0_S1,0.48,0,0.366666667
9.A_N0_S1_2,9,May'16,19,A,N0,S1,A_N0_S1,0.103333333,0.06,0.276666667
9.A_N0_S1_3,9,May'16,20,A,N0,S1,A_N0_S1,0.633333333,0,0.873333333
9.A_N0_S1_4,9,May'16,36,A,N0,S1,A_N0_S1,0.46,0,0.506666667
9.A_N0_S1_5,9,May'16,40,A,N0,S1,A_N0_S1,0.45,0,0.186666667
9.A_N1_S0_1,9,May'16,14,A,N1,S0,A_N1_S0,1.73,0.733333333,2.883333333
9.A_N1_S0_2,9,May'16,23,A,N1,S0,A_N1_S0,0.316666667,2.856666667,0.843333333
9.A_N1_S0_3,9,May'16,69,A,N1,S0,A_N1_S0,0.533333333,1.426666667,0.866666667
9.A_N1_S0_4,9,May'16,I,A,N1,S0,A_N1_S0,0.866666667,2.963333333,3.94
9.A_N1_S0_5,9,May'16,K,A,N1,S0,A_N1_S0,0.446666667,0.04,0.44
9.A_N1_S1_1,9,May'16,30,A,N1,S1,A_N1_S1,0.09,1.683333333,0.433333333
9.A_N1_S1_2,9,May'16,47,A,N1,S1,A_N1_S1,0.923333333,0,0.903333333
9.A_N1_S1_3,9,May'16,B,A,N1,S1,A_N1_S1,0.703333333,0.396666667,1.396666667
9.A_N1_S1_4,9,May'16,F,A,N1,S1,A_N1_S1,0.633333333,0.023333333,0.983333333
9.A_N1_S1_5,9,May'16,N,A,N1,S1,A_N1_S1,0.753333333,0,0.84
9.B_N0_S0_1,9,May'16,1,B,N0,S0,B_N0_S0,0.073333333,0.04,0.106666667
9.B_N0_S0_2,9,May'16,4,B,N0,S0,B_N0_S0,0.096666667,0,0.1
9.B_N0_S0_3,9,May'16,31,B,N0,S0,B_N0_S0,0.04,0.16,0.033333333
9.B_N0_S0_4,9,May'16,34,B,N0,S0,B_N0_S0,0.29,0.046666667,0.36
9.B_N0_S0_5,9,May'16,E,B,N0,S0,B_N0_S0,0.126666667,1.236666667,0.26
9.B_N0_S1_1,9,May'16,17,B,N0,S1,B_N0_S1,0.113333333,0.166666667,0.163333333
9.B_N0_S1_2,9,May'16,18,B,N0,S1,B_N0_S1,0.14,0,0.1
9.B_N0_S1_3,9,May'16,49,B,N0,S1,B_N0_S1,0.093333333,0.193333333,0.22
9.B_N0_S1_4,9,May'16,65,B,N0,S1,B_N0_S1,0.213333333,0.05,0.413333333
9.B_N0_S1_5,9,May'16,H,B,N0,S1,B_N0_S1,0.056666667,0.023333333,0.083333333
9.B_N1_S0_1,9,May'16,5,B,N1,S0,B_N1_S0,0.086666667,0.07,0.153333333
9.B_N1_S0_2,9,May'16,24,B,N1,S0,B_N1_S0,0.113333333,1.52,0.236666667
9.B_N1_S0_3,9,May'16,44,B,N1,S0,B_N1_S0,0.066666667,0.076666667,0.113333333
9.B_N1_S0_4,9,May'16,67,B,N1,S0,B_N1_S0,0.183333333,0,0.186666667
9.B_N1_S0_5,9,May'16,J,B,N1,S0,B_N1_S0,0.1,0,0.1
9.B_N1_S1_1,9,May'16,11,B,N1,S1,B_N1_S1,0.073333333,0,0.066666667
9.B_N1_S1_2,9,May'16,25,B,N1,S1,B_N1_S1,0.1,0.036666667,0.24
9.B_N1_S1_3,9,May'16,45,B,N1,S1,B_N1_S1,0.113333333,0,0.08
9.B_N1_S1_4,9,May'16,C,B,N1,S1,B_N1_S1,0.186666667,0,0.216666667
9.B_N1_S1_5,9,May'16,M,B,N1,S1,B_N1_S1,0.066666667,0,0.05
9.C_N0_S0_1,9,May'16,2,C,N0,S0,C_N0_S0,0.163333333,0.27,0.303333333
9.C_N0_S0_2,9,May'16,3,C,N0,S0,C_N0_S0,0.196666667,0.17,0.446666667
9.C_N0_S0_3,9,May'16,15,C,N0,S0,C_N0_S0,0.063333333,0.206666667,0.156666667
9.C_N0_S0_4,9,May'16,33,C,N0,S0,C_N0_S0,0.083333333,0.056666667,0.15
9.C_N0_S0_5,9,May'16,59,C,N0,S0,C_N0_S0,0.05,0.05,0.05
9.C_N0_S1_1,9,May'16,37,C,N0,S1,C_N0_S1,0.023333333,0.15,0.04
9.C_N0_S1_2,9,May'16,46,C,N0,S1,C_N0_S1,0.11,0.563333333,0.32
9.C_N0_S1_3,9,May'16,60,C,N0,S1,C_N0_S1,0.04,0.073333333,0.073333333
9.C_N0_S1_4,9,May'16,A,C,N0,S1,C_N0_S1,0.143333333,0.073333333,0.246666667
9.C_N0_S1_5,9,May'16,D,C,N0,S1,C_N0_S1,0.036666667,0.066666667,0.06
9.C_N1_S0_1,9,May'16,8,C,N1,S0,C_N1_S0,0.156666667,0,0.256666667
9.C_N1_S0_2,9,May'16,27,C,N1,S0,C_N1_S0,0.3,0,0.533333333
9.C_N1_S0_3,9,May'16,42,C,N1,S0,C_N1_S0,0.08,0.17,0.133333333
9.C_N1_S0_4,9,May'16,63,C,N1,S0,C_N1_S0,0.113333333,0.03,0.063333333
9.C_N1_S0_5,9,May'16,G,C,N1,S0,C_N1_S0,0.04,0.02,0.043333333
9.C_N1_S1_1,9,May'16,10,C,N1,S1,C_N1_S1,0.03,0,0.023333333
9.C_N1_S1_2,9,May'16,26,C,N1,S1,C_N1_S1,0.04,0,0.046666667
9.C_N1_S1_3,9,May'16,28,C,N1,S1,C_N1_S1,0.016666667,0.056666667,0.01
9.C_N1_S1_4,9,May'16,70,C,N1,S1,C_N1_S1,0.076666667,0,0.076666667
9.C_N1_S1_5,9,May'16,L,C,N1,S1,C_N1_S1,0.093333333,0,0.106666667
9.D_N0_S0_1,9,May'16,21,D,N0,S0,D_N0_S0,0.116666667,0,0.1
9.D_N0_S0_2,9,May'16,41,D,N0,S0,D_N0_S0,0.146666667,0.03,0.17
9.D_N0_S0_3,9,May'16,52,D,N0,S0,D_N0_S0,0.023333333,0.253333333,0.006666667
9.D_N0_S0_4,9,May'16,58,D,N0,S0,D_N0_S0,0.02,0.016666667,0.016666667
9.D_N0_S0_5,9,May'16,68,D,N0,S0,D_N0_S0,0.053333333,0.09,0.033333333
9.D_N0_S1_1,9,May'16,35,D,N0,S1,D_N0_S1,0.01,0.08,0.006666667
9.D_N0_S1_2,9,May'16,38,D,N0,S1,D_N0_S1,0,0.04,0
9.D_N0_S1_3,9,May'16,54,D,N0,S1,D_N0_S1,0.023333333,0.016666667,0.02
9.D_N0_S1_4,9,May'16,62,D,N0,S1,D_N0_S1,0.02,0.043333333,0
9.D_N0_S1_5,9,May'16,72,D,N0,S1,D_N0_S1,0.016666667,0.083333333,0
9.D_N1_S0_1,9,May'16,48,D,N1,S0,D_N1_S0,0.076666667,0.026666667,0.083333333
9.D_N1_S0_2,9,May'16,56,D,N1,S0,D_N1_S0,0.036666667,0.536666667,0.03
9.D_N1_S0_3,9,May'16,64,D,N1,S0,D_N1_S0,0.173333333,0,0.17
9.D_N1_S0_4,9,May'16,86,D,N1,S0,D_N1_S0,0.013333333,0.05,0
9.D_N1_S0_5,9,May'16,24*,D,N1,S0,D_N1_S0,0.033333333,0.096666667,0.02
9.D_N1_S1_1,9,May'16,9,D,N1,S1,D_N1_S1,0.003333333,0.036666667,0
9.D_N1_S1_2,9,May'16,29,D,N1,S1,D_N1_S1,0.026666667,0.016666667,0.016666667
9.D_N1_S1_3,9,May'16,57,D,N1,S1,D_N1_S1,0.086666667,0.07,0.11
9.D_N1_S1_4,9,May'16,66,D,N1,S1,D_N1_S1,0.03,0.043333333,0.01
9.D_N1_S1_5,9,May'16,99,D,N1,S1,D_N1_S1,0.003333333,0.016666667,0
10.A_N0_S0_1,10,June'16,6,A,N0,S0,A_N0_S0,0.033333333,2.373333333,0.27
10.A_N0_S0_2,10,June'16,7,A,N0,S0,A_N0_S0,0.113333333,1.06,0.336666667
10.A_N0_S0_3,10,June'16,32,A,N0,S0,A_N0_S0,1.236666667,0,1.083333333
10.A_N0_S0_4,10,June'16,50,A,N0,S0,A_N0_S0,0.363333333,1.863333333,0.936666667
10.A_N0_S0_5,10,June'16,53,A,N0,S0,A_N0_S0,1.936666667,0,2.416666667
10.A_N0_S1_1,10,June'16,16,A,N0,S1,A_N0_S1,0.473333333,0,0.616666667
10.A_N0_S1_2,10,June'16,19,A,N0,S1,A_N0_S1,0.516666667,0.103333333,1.236666667
10.A_N0_S1_3,10,June'16,20,A,N0,S1,A_N0_S1,0.686666667,0,0.59
10.A_N0_S1_4,10,June'16,36,A,N0,S1,A_N0_S1,0.393333333,0,0.516666667
10.A_N0_S1_5,10,June'16,40,A,N0,S1,A_N0_S1,0.446666667,0,1.103333333
10.A_N1_S0_1,10,June'16,14,A,N1,S0,A_N1_S0,1.473333333,0.276666667,2.786666667
10.A_N1_S0_2,10,June'16,23,A,N1,S0,A_N1_S0,0.176666667,3.39,0.52
10.A_N1_S0_3,10,June'16,69,A,N1,S0,A_N1_S0,0.946666667,0,3.933333333
10.A_N1_S0_4,10,June'16,I,A,N1,S0,A_N1_S0,0.986666667,0.336666667,3.26
10.A_N1_S0_5,10,June'16,K,A,N1,S0,A_N1_S0,1.263333333,0,2.64
10.A_N1_S1_1,10,June'16,30,A,N1,S1,A_N1_S1,0.083333333,2.16,0.506666667
10.A_N1_S1_2,10,June'16,47,A,N1,S1,A_N1_S1,1.316666667,0,2.276666667
10.A_N1_S1_3,10,June'16,B,A,N1,S1,A_N1_S1,1.236666667,0.4,2.973333333
10.A_N1_S1_4,10,June'16,F,A,N1,S1,A_N1_S1,0.323333333,0.013333333,0.456666667
10.A_N1_S1_5,10,June'16,N,A,N1,S1,A_N1_S1,1.313333333,0,1.466666667
10.B_N0_S0_1,10,June'16,1,B,N0,S0,B_N0_S0,0.113333333,0.126666667,0.243333333
10.B_N0_S0_2,10,June'16,4,B,N0,S0,B_N0_S0,0.026666667,0.123333333,0.04
